project_id,ksloc,pm_actual,E,SF_PREC,SF_FLEX,SF_RESL,SF_TEAM,SF_PMAT,RELY,DATA,CPLX,RUSE,DOCU,TIME,STOR,PVOL,ACAP,PCAP,PCON,APEX,PLEX,LTEX,TOOL,SITE,SCED,BC_BEM,BC_DC,BC_EM_GAS,BC_EM_AUD,BC_EM_MC,BC_EM_REG,BC_EM_NODE,pm_pred
Afloat,1.578,1.0,1.0997,N,N,N,N,N,N,N,H,N,N,N,N,H,N,N,N,N,N,N,N,N,N,1.0,1.1,1.0,1.0,1.0,1.0,1.0,2.315
Aisland-DocSig,2.596,1.7368,1.1138,N,N,L,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,L,N,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.988
ajuna,6.098,1.0526,1.0841,N,N,N,N,H,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,N,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.053
ares_protocol,28.533,1.6316,1.0997,N,N,N,N,N,N,N,H,N,N,N,N,H,N,N,N,N,N,N,L,N,N,1.0,1.1,1.0,1.0,1.0,1.0,1.1,66.996
ArtZero_InkWhale,11.752,11.3684,1.0997,N,N,N,N,N,N,N,H,N,N,H,N,H,N,N,N,N,N,N,N,N,N,1.0,1.1,1.05,1.0,1.0,1.0,1.0,24.553
assemblyscript-scale-codec,1.4,1.6316,1.0997,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.372
bit_country,21.966,12.9474,1.1262,L,N,L,N,N,H,N,VH,N,N,N,N,H,N,N,N,N,N,N,N,N,N,1.0,1.1,1.0,1.2,1.2,1.0,1.1,90.767
bright_tresury,47.604,20.7895,1.07,N,N,H,N,H,N,N,H,N,H,N,N,H,N,N,N,N,N,N,N,N,N,1.0,1.1,1.0,1.0,1.0,1.0,1.0,97.092
calamar,15.332,8.3684,1.0841,N,N,N,N,H,N,N,H,N,N,N,N,H,N,N,N,N,N,N,H,N,N,1.0,1.1,1.0,1.0,1.0,1.0,1.1,26.775
candle_auction_ink,0.706,1.5263,1.1294,N,N,L,N,L,N,N,N,N,N,N,N,N,N,N,N,N,N,N,L,N,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.697
